starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 23:43:40 2011	1322703820	0	79	79	79
Wed Nov 30 23:43:27 2011	1322703807	0	79	79	79
Wed Nov 30 23:43:13 2011	1322703793	0	79	79	79
Wed Nov 30 23:43:40 2011	1322703820	0	79	79	79
Wed Nov 30 23:43:40 2011	1322703820	0	80	80	79
Wed Nov 30 23:43:46 2011	1322703826	0	80	80	80
Wed Nov 30 23:43:08 2011	1322703788	0	80	80	80
Wed Nov 30 23:43:29 2011	1322703809	0	80	80	80
Wed Nov 30 23:43:38 2011	1322703818	0	80	80	80
Wed Nov 30 23:43:24 2011	1322703804	0	80	80	80
Wed Nov 30 23:43:25 2011	1322703805	0	80	80	80
Wed Nov 30 23:43:36 2011	1322703816	0	81	81	81
Wed Nov 30 23:43:37 2011	1322703817	0	81	81	81
Wed Nov 30 23:43:12 2011	1322703792	0	86	86	86
Wed Nov 30 23:43:43 2011	1322703823	0	143	143	143
Wed Nov 30 23:43:34 2011	1322703814	0	150	151	150
Wed Nov 30 23:43:13 2011	1322703793	0	152	152	151
Wed Nov 30 23:43:47 2011	1322703827	0	153	153	153
Wed Nov 30 23:43:15 2011	1322703795	0	153	153	153
Wed Nov 30 23:43:39 2011	1322703819	0	153	153	153
Wed Nov 30 23:43:12 2011	1322703792	0	153	153	153
Wed Nov 30 23:43:37 2011	1322703817	0	153	153	153
Wed Nov 30 23:43:24 2011	1322703804	0	154	154	153
Wed Nov 30 23:43:45 2011	1322703825	0	154	154	154
Wed Nov 30 23:43:42 2011	1322703822	0	154	154	154
Wed Nov 30 23:43:16 2011	1322703796	0	154	154	154
Wed Nov 30 23:43:36 2011	1322703816	0	155	155	155
Wed Nov 30 23:43:34 2011	1322703814	0	155	155	155
Wed Nov 30 23:43:32 2011	1322703812	0	155	155	155
Wed Nov 30 23:43:39 2011	1322703819	0	155	155	155
Wed Nov 30 23:43:43 2011	1322703823	0	155	155	155
Wed Nov 30 23:43:37 2011	1322703817	0	156	156	155
Wed Nov 30 23:43:15 2011	1322703795	0	156	156	155
Wed Nov 30 23:43:47 2011	1322703827	0	156	156	156
Wed Nov 30 23:43:47 2011	1322703827	0	156	156	156
Wed Nov 30 23:43:44 2011	1322703824	0	156	156	156
Wed Nov 30 23:43:48 2011	1322703828	0	156	156	156
Wed Nov 30 23:43:49 2011	1322703829	0	156	156	156
Wed Nov 30 23:43:28 2011	1322703808	0	156	156	156
Wed Nov 30 23:43:34 2011	1322703814	0	156	156	156
Wed Nov 30 23:43:24 2011	1322703804	0	156	156	156
Wed Nov 30 23:43:30 2011	1322703810	0	156	156	156
Wed Nov 30 23:43:38 2011	1322703818	0	156	156	156
Wed Nov 30 23:43:31 2011	1322703811	0	156	156	156
Wed Nov 30 23:43:32 2011	1322703812	0	156	156	156
Wed Nov 30 23:43:18 2011	1322703798	0	156	156	156
Wed Nov 30 23:43:30 2011	1322703810	0	156	156	156
